,State,Issuer_Name,Issuer_ID,Plan_ID,Plan_Type,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Enrollment_Data,Disenrollment_Data,ReportingUnitID,OverallRatingValue,MedicalCareRatingValue,MemberExperienceRatingValue,PlanAdministratioatingValue
0,MO,Cox Health Systems Insurance Company,96384,96384MO0220003,EPO,Silver,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,1530,226,0,47,27,0,0,216,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,194,19,96384-MO-EPO,0,0,0,0
1,MO,Cox Health Systems Insurance Company,96384,96384MO0220006,EPO,Silver,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,2280,269,0,36,73,0,0,239,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,244,19,96384-MO-EPO,0,0,0,0
2,MO,Cox Health Systems Insurance Company,96384,96384MO0220007,EPO,Gold,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,2569,543,0,273,31,0,0,510,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,178,14,96384-MO-EPO,0,0,0,0
3,MO,Cox Health Systems Insurance Company,96384,96384MO0220005,EPO,Silver,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,4584,595,0,171,133,0,0,527,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,410,26,96384-MO-EPO,0,0,0,0
4,MO,Cox Health Systems Insurance Company,96384,96384MO0220001,EPO,Bronze Expanded,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,749,99,0,24,16,0,0,92,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,150,21,96384-MO-EPO,0,0,0,0
5,MO,Cox Health Systems Insurance Company,96384,96384MO0220008,EPO,Bronze Expanded,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,0,0,96384-MO-EPO,0,0,0,0
6,MO,Cox Health Systems Insurance Company,96384,96384MO0220009,EPO,Silver,https://www.thinkinghealthforward.com/files/CHP-Claims-Payment-Policies-Other-Information-py2020.pdf,11712,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=60040&:refresh,0,0,96384-MO-EPO,0,0,0,0
7,MI,Oscar Insurance Company,77739,77739MI0070006,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,105,49,0,38,0,0,0,15,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,98,47,77739-MI-EPO,0,0,0,0
8,MI,Oscar Insurance Company,77739,77739MI0070008,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,108,86,0,73,0,0,0,13,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,92,16,77739-MI-EPO,0,0,0,0
9,MI,Oscar Insurance Company,77739,77739MI0070005,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,1129,790,12,590,25,0,14,191,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,870,132,77739-MI-EPO,0,0,0,0
